Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/HTTPThing/numericalintegralservice/0/3.14159,97499,97499,2,1.7031608098544468,0.7899999999949614,2287.5331,0.0,544.1530334542509,544.1530334542509,2,2,2,2,2,2,3,3,4,20,2300
,Aggregated,97499,97499,2,1.7031608098544468,0.7899999999949614,2287.5331,0.0,544.1530334542509,544.1530334542509,2,2,2,2,2,2,3,3,4,20,2300
