Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,43,43,4100.0,4079.7929534883724,4038.7799000000086,4115.332399999999,0.0,0.24508390327995472,0.24508390327995472,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
,Aggregated,43,43,4100.0,4079.7929534883724,4038.7799000000086,4115.332399999999,0.0,0.24508390327995472,0.24508390327995472,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
