Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1669137728,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669137729,1,,Aggregated,0.000000,0.000000,870,870,870,870,870,870,870,870,870,870,870,2,0,110.0,491.91790000000003,109.232,874.6038000000001,234.0
1669137730,1,,Aggregated,0.000000,0.000000,100,100,110,110,130,870,870,870,870,870,870,12,0,100.0,156.72035833333334,32.92129999999993,874.6038000000001,234.0
1669137731,1,,Aggregated,0.000000,0.000000,100,100,110,110,130,160,870,870,870,870,870,25,0,100.0,120.98345599999999,32.92129999999993,874.6038000000001,234.0
1669137732,1,,Aggregated,5.500000,0.000000,100,100,110,110,130,160,870,870,870,870,870,36,0,100.0,113.97673333333336,32.92129999999993,874.6038000000001,234.0
1669137733,1,,Aggregated,7.333333,0.000000,100,100,100,110,130,150,870,870,870,870,870,50,0,100.0,101.35557,32.92129999999993,874.6038000000001,234.0
1669137734,1,,Aggregated,8.000000,0.000000,100,100,100,100,130,150,160,870,870,870,870,62,0,99,98.21457903225803,32.92129999999993,874.6038000000001,234.0
1669137735,1,,Aggregated,9.000000,0.000000,100,100,100,100,120,150,160,870,870,870,870,72,0,100.0,98.99641111111106,32.92129999999993,874.6038000000001,234.0
1669137736,1,,Aggregated,9.666667,0.000000,100,100,100,100,120,150,160,870,870,870,870,81,0,100.0,99.1280679012345,32.92129999999993,874.6038000000001,234.0
1669137737,1,,Aggregated,9.857143,0.000000,100,100,100,100,110,150,160,870,870,870,870,92,0,100.0,98.36649456521734,32.92129999999993,874.6038000000001,234.0
1669137738,1,,Aggregated,9.750000,0.000000,100,100,100,100,110,130,160,160,870,870,870,106,0,100.0,95.0080037735848,32.92129999999993,874.6038000000001,234.0
1669137739,1,,Aggregated,9.777778,0.000000,100,100,100,100,110,130,160,160,870,870,870,117,0,100.0,94.80256581196574,32.92129999999993,874.6038000000001,234.0
1669137740,1,,Aggregated,10.200000,0.000000,100,100,100,100,110,130,160,160,870,870,870,128,0,100.0,94.6328179687499,32.92129999999993,874.6038000000001,234.0
1669137741,1,,Aggregated,11.300000,0.000000,100,100,100,100,110,130,160,160,870,870,870,139,0,100.0,94.50827985611502,32.92129999999993,874.6038000000001,234.0
1669137742,1,,Aggregated,11.200000,0.000000,100,100,100,100,110,130,160,160,870,870,870,149,0,100.0,94.6915442953019,32.92129999999993,874.6038000000001,234.0
1669137743,1,,Aggregated,11.200000,0.000000,100,100,100,100,110,130,150,160,870,870,870,159,0,100.0,95.46687924528287,32.92129999999993,874.6038000000001,234.0
1669137744,1,,Aggregated,11.300000,0.000000,100,100,100,100,110,150,190,310,870,870,870,165,0,100.0,98.18798181818165,32.92129999999993,874.6038000000001,234.0
1669137745,1,,Aggregated,11.000000,0.000000,100,100,100,100,120,150,210,310,870,870,870,172,0,100.0,100.14519418604635,32.92129999999993,874.6038000000001,234.0
1669137746,1,,Aggregated,10.500000,0.000000,100,100,100,110,130,160,210,310,870,870,870,180,0,100.0,100.93745833333315,32.92129999999993,874.6038000000001,234.0
1669137747,1,,Aggregated,9.900000,0.000000,100,100,100,100,130,160,210,310,870,870,870,191,0,100.0,100.87006910994745,32.92129999999993,874.6038000000001,234.0
1669137748,1,,Aggregated,9.900000,0.000000,100,100,100,100,130,160,200,310,870,870,870,202,0,100.0,100.42970198019788,32.92129999999993,874.6038000000001,234.0
1669137749,1,,Aggregated,9.700000,0.000000,100,100,100,100,120,160,200,310,870,870,870,214,0,100.0,99.5771939252335,32.92129999999993,874.6038000000001,234.0
1669137750,1,,Aggregated,9.500000,0.000000,100,100,100,100,120,150,200,310,870,870,870,225,0,100.0,99.4084822222221,32.92129999999993,874.6038000000001,234.0
1669137751,1,,Aggregated,9.400000,0.000000,100,100,100,100,120,150,200,310,870,870,870,236,0,100.0,98.95465508474567,32.92129999999993,874.6038000000001,234.0
1669137752,1,,Aggregated,9.500000,0.000000,100,100,100,100,120,150,200,310,870,870,870,247,0,100.0,98.25939797570835,32.92129999999993,874.6038000000001,234.0
1669137753,1,,Aggregated,9.500000,0.000000,100,100,100,100,120,150,190,310,870,870,870,258,0,100.0,98.03632829457352,32.92129999999993,874.6038000000001,234.0
1669137754,1,,Aggregated,9.500000,0.000000,100,100,100,100,120,150,190,310,870,870,870,269,0,100.0,97.81936171003706,32.92129999999993,874.6038000000001,234.0
1669137755,1,,Aggregated,9.600000,0.000000,100,100,100,100,110,150,190,310,870,870,870,280,0,100.0,97.62725214285705,32.92129999999993,874.6038000000001,234.0
1669137756,1,,Aggregated,9.900000,0.000000,100,100,100,100,110,150,190,310,870,870,870,291,0,100.0,97.44574845360813,32.92129999999993,874.6038000000001,234.0
1669137757,1,,Aggregated,10.500000,0.000000,100,100,100,100,110,150,190,210,870,870,870,302,0,100.0,97.2875168874171,32.92129999999993,874.6038000000001,234.0
1669137758,1,,Aggregated,10.700000,0.000000,100,100,100,100,110,150,190,210,870,870,870,314,0,100.0,96.81564171974509,32.92129999999993,874.6038000000001,234.0
1669137759,1,,Aggregated,10.900000,0.000000,100,100,100,100,110,140,190,210,870,870,870,325,0,100.0,96.67955753846138,32.92129999999993,874.6038000000001,234.0
1669137760,1,,Aggregated,11.000000,0.000000,100,100,100,100,110,140,190,210,870,870,870,339,0,100.0,95.70346165191728,32.92129999999993,874.6038000000001,234.0
1669137761,1,,Aggregated,11.000000,0.000000,100,100,100,100,110,140,190,210,870,870,870,349,0,100.0,95.88233581661876,32.92129999999993,874.6038000000001,234.0
1669137762,1,,Aggregated,11.000000,0.000000,100,100,100,100,110,140,170,210,870,870,870,359,0,100.0,96.05831197771577,32.92129999999993,874.6038000000001,234.0
1669137763,1,,Aggregated,11.300000,0.000000,100,100,100,100,110,140,170,210,870,870,870,372,0,100.0,95.4461150537634,32.92129999999993,874.6038000000001,234.0
1669137764,1,,Aggregated,11.100000,0.000000,100,100,100,100,110,140,190,210,870,870,870,382,0,100.0,95.62178664921458,32.92129999999993,874.6038000000001,234.0
1669137765,1,,Aggregated,11.000000,0.000000,100,100,100,100,110,140,190,210,870,870,870,394,0,100.0,95.39401979695428,32.92129999999993,874.6038000000001,234.0
1669137766,1,,Aggregated,11.200000,0.000000,100,100,100,100,110,140,170,200,870,870,870,404,0,100.0,95.47214628712867,32.92129999999993,874.6038000000001,234.0
